starting_point_id,dropping_point_id,pickup_time,dropoff_time,duration,pickup_time_sec
138,189,2019-03-04 02:26:22,2019-03-04 02:50:35,24,8782
138,189,2019-03-04 07:53:40,2019-03-04 08:38:42,45,28420
138,189,2019-03-04 08:51:12,2019-03-04 09:28:32,37,31872
138,189,2019-03-04 12:35:50,2019-03-04 13:14:15,38,45350
138,189,2019-03-04 13:35:38,2019-03-04 14:21:45,46,48938
138,189,2019-03-04 14:09:37,2019-03-04 14:38:22,28,50977
138,189,2019-03-04 14:50:05,2019-03-04 15:32:35,42,53405
138,189,2019-03-04 14:57:03,2019-03-04 15:46:25,49,53823
138,189,2019-03-04 14:23:56,2019-03-04 14:55:18,31,51836
138,189,2019-03-04 14:35:56,2019-03-04 15:26:54,50,52556
138,189,2019-03-04 14:30:24,2019-03-04 15:13:47,43,52224
138,189,2019-03-04 15:07:42,2019-03-04 15:56:33,48,54462
138,189,2019-03-04 15:37:02,2019-03-04 16:12:01,34,56222
138,189,2019-03-04 16:07:42,2019-03-04 16:45:16,37,58062
138,189,2019-03-04 16:56:06,2019-03-04 17:42:22,46,60966
138,189,2019-03-04 16:19:27,2019-03-04 16:59:04,39,58767
138,189,2019-03-04 17:24:11,2019-03-04 18:00:39,36,62651
138,189,2019-03-04 17:31:11,2019-03-04 17:59:16,28,63071
138,189,2019-03-04 18:11:20,2019-03-04 18:51:09,39,65480
138,189,2019-03-04 19:37:20,2019-03-04 20:02:55,25,70640
138,189,2019-03-04 19:32:40,2019-03-04 20:00:24,27,70360
138,189,2019-03-04 19:19:13,2019-03-04 19:59:04,39,69553
138,189,2019-03-04 19:58:03,2019-03-04 20:31:56,33,71883
138,189,2019-03-04 19:08:26,2019-03-04 19:57:45,49,68906
138,189,2019-03-04 19:41:30,2019-03-04 20:08:13,26,70890
138,189,2019-03-04 20:02:31,2019-03-04 20:28:23,25,72151
138,189,2019-03-04 20:45:10,2019-03-04 21:11:01,25,74710
138,189,2019-03-04 21:56:00,2019-03-04 22:45:41,49,78960
138,189,2019-03-04 22:22:55,2019-03-04 22:55:01,32,80575
138,189,2019-03-05 00:20:45,2019-03-05 00:44:00,23,1245
138,189,2019-03-05 09:20:17,2019-03-05 10:08:30,48,33617
138,189,2019-03-05 15:56:16,2019-03-05 16:51:38,55,57376
138,189,2019-03-05 18:40:12,2019-03-05 19:19:34,39,67212
138,189,2019-03-05 17:59:03,2019-03-05 18:45:55,46,64743
138,189,2019-03-05 20:15:52,2019-03-05 20:40:22,24,72952
138,189,2019-03-05 20:00:14,2019-03-05 20:28:20,28,72014
138,189,2019-03-05 20:59:25,2019-03-05 21:28:00,28,75565
138,189,2019-03-05 20:49:39,2019-03-05 21:15:24,25,74979
138,189,2019-03-05 21:14:32,2019-03-05 21:42:41,28,76472
138,189,2019-03-05 21:37:06,2019-03-05 22:03:12,26,77826
138,189,2019-03-05 21:12:01,2019-03-05 21:36:02,24,76321
138,189,2019-03-05 22:37:59,2019-03-05 22:59:41,21,81479
138,189,2019-03-05 23:36:14,2019-03-05 23:57:18,21,84974
138,189,2019-03-06 07:56:28,2019-03-06 08:37:27,40,28588
138,189,2019-03-06 11:04:59,2019-03-06 11:50:40,45,39899
138,189,2019-03-06 12:26:03,2019-03-06 12:53:24,27,44763
138,189,2019-03-06 12:20:22,2019-03-06 12:41:52,21,44422
138,189,2019-03-06 13:44:43,2019-03-06 14:20:18,35,49483
138,189,2019-03-06 13:14:39,2019-03-06 13:48:53,34,47679
138,189,2019-03-06 14:03:19,2019-03-06 14:36:30,33,50599
138,189,2019-03-06 16:35:58,2019-03-06 17:35:52,59,59758
138,189,2019-03-06 16:35:15,2019-03-06 17:33:34,58,59715
138,189,2019-03-06 17:13:06,2019-03-06 17:55:40,42,61986
138,189,2019-03-06 18:16:08,2019-03-06 19:04:38,48,65768
138,189,2019-03-06 18:03:40,2019-03-06 18:44:16,40,65020
138,189,2019-03-06 18:10:19,2019-03-06 19:07:11,56,65419
138,189,2019-03-06 18:25:12,2019-03-06 19:14:33,49,66312
138,189,2019-03-06 19:00:30,2019-03-06 19:34:42,34,68430
