Starting_point_id,Dropping_point_id,Weekday,Intercept,Power_0,Power_1,Power_2,Power_3,Power_4,Power_5,Power_6,Power_7
1,8,Thursday,24.08843198755597,1.0825499337485192e-16,2.504031354403792e-10,1.4237800239190448e-11,2.8110261716815114e-09,-1.028350245602494e-11,1.4078141057251205e-14,-8.458944899502601e-18,1.875487161904246e-21
1,8,Friday,23.36698981320177,1.0540355598755188e-16,1.4688804008911892e-10,1.5639872657882695e-11,3.0727880368212752e-09,-1.2018099728828079e-11,1.7395077036189332e-14,-1.0995542695727502e-17,2.5612444660036272e-21
3,1,Saturday,29.893119973251267,-3.135988564246563e-24,-1.2010632701491307e-17,-2.3340780105038745e-18,-1.2043716334827158e-15,-3.724066091408925e-13,9.727484235418766e-16,-8.029695353609757e-19,2.126800430417523e-22
3,1,Sunday,22.409680776569047,1.1560855676397124e-16,8.699590379078776e-11,1.3907200504526287e-11,2.6927235928289828e-09,-9.757390649696476e-12,1.3156880710752339e-14,-7.785785052574356e-18,1.70372953456014e-21
3,1,Monday,50.442377189543805,-1.0854253526556233e-23,6.047283591624489e-18,-7.483577616038333e-18,-3.737078231699014e-15,-1.1224114516421626e-12,2.596715840636715e-15,-2.0033765006869896e-18,5.1327170266127465e-22
3,1,Tuesday,19.203184215914632,1.9042842145338068e-16,-3.0253002452785316e-10,2.265371603702119e-11,4.217465694828311e-09,-1.5025290218024815e-11,1.9901955956166824e-14,-1.1587718626040285e-17,2.501399164314541e-21
3,1,Wednesday,37.900791816900856,-6.882523243941492e-24,-3.7528765457504464e-17,-4.882266417226527e-18,-2.5006356152653944e-15,-7.724163444312461e-13,1.942368028530909e-15,-1.5958739969628057e-18,4.295939051113719e-22
3,1,Thursday,25.502603955058895,1.0443569718566578e-16,-3.275004070963629e-10,1.4082141364155573e-11,2.802507643170712e-09,-1.0202506446342872e-11,1.3814460424963546e-14,-8.195025644887874e-18,1.794074389424371e-21
3,1,Friday,20.8337690488204,9.660111416091478e-17,1.346211537706348e-10,1.433375992143237e-11,2.8161747431905757e-09,-1.0748724895195766e-11,1.5101577632489268e-14,-9.223424057177133e-18,2.0684186105525538e-21
3,4,Saturday,41.50431553636526,-3.358639130474011e-24,-8.407817133112137e-18,-2.4952861025479815e-18,-1.2869648879075908e-15,-3.977473415985291e-13,9.649491743729445e-16,-7.623803979823327e-19,1.9676255588024325e-22
