starting_point_id,dropping_point_id,pickup_time,dropoff_time,duration,pickup_time_sec,weekday
138,163,2019-01-02 07:41:32,2019-01-02 08:06:03,24,27692,Wednesday
138,163,2019-01-02 08:09:03,2019-01-02 08:44:03,35,29343,Wednesday
138,163,2019-01-02 08:20:55,2019-01-02 08:58:57,38,30055,Wednesday
138,163,2019-01-02 08:19:28,2019-01-02 08:53:04,33,29968,Wednesday
138,163,2019-01-02 08:47:19,2019-01-02 09:25:48,38,31639,Wednesday
138,163,2019-01-02 08:57:44,2019-01-02 09:26:25,28,32264,Wednesday
138,163,2019-01-02 08:09:15,2019-01-02 08:38:27,29,29355,Wednesday
138,163,2019-01-02 08:41:04,2019-01-02 09:06:29,25,31264,Wednesday
138,163,2019-01-02 08:20:36,2019-01-02 08:48:38,28,30036,Wednesday
138,163,2019-01-02 08:47:57,2019-01-02 09:15:57,28,31677,Wednesday
138,163,2019-01-02 08:53:19,2019-01-02 09:48:32,55,31999,Wednesday
138,163,2019-01-02 08:10:10,2019-01-02 08:45:13,35,29410,Wednesday
138,163,2019-01-02 09:09:27,2019-01-02 09:42:10,32,32967,Wednesday
138,163,2019-01-02 09:13:25,2019-01-02 09:55:22,41,33205,Wednesday
138,163,2019-01-02 09:49:13,2019-01-02 10:23:47,34,35353,Wednesday
138,163,2019-01-02 09:24:07,2019-01-02 10:00:44,36,33847,Wednesday
138,163,2019-01-02 09:21:56,2019-01-02 10:14:33,52,33716,Wednesday
138,163,2019-01-02 09:58:15,2019-01-02 10:34:42,36,35895,Wednesday
138,163,2019-01-02 09:50:15,2019-01-02 10:21:19,31,35415,Wednesday
138,163,2019-01-02 09:01:49,2019-01-02 09:31:07,29,32509,Wednesday
138,163,2019-01-02 09:17:47,2019-01-02 09:46:33,28,33467,Wednesday
138,163,2019-01-02 10:20:49,2019-01-02 10:49:26,28,37249,Wednesday
138,163,2019-01-02 10:54:28,2019-01-02 11:32:01,37,39268,Wednesday
138,163,2019-01-02 10:31:28,2019-01-02 11:02:44,31,37888,Wednesday
138,163,2019-01-02 10:34:35,2019-01-02 11:12:08,37,38075,Wednesday
138,163,2019-01-02 10:05:53,2019-01-02 10:33:22,27,36353,Wednesday
138,163,2019-01-02 10:53:07,2019-01-02 11:21:33,28,39187,Wednesday
138,163,2019-01-02 10:55:18,2019-01-02 11:25:37,30,39318,Wednesday
138,163,2019-01-02 10:34:50,2019-01-02 11:04:32,29,38090,Wednesday
138,163,2019-01-02 10:53:43,2019-01-02 11:25:09,31,39223,Wednesday
138,163,2019-01-02 10:58:29,2019-01-02 11:57:25,58,39509,Wednesday
138,163,2019-01-02 10:13:03,2019-01-02 10:45:55,32,36783,Wednesday
138,163,2019-01-02 10:04:49,2019-01-02 10:41:51,37,36289,Wednesday
138,163,2019-01-02 10:33:28,2019-01-02 11:09:36,36,38008,Wednesday
138,163,2019-01-02 10:21:26,2019-01-02 11:10:16,48,37286,Wednesday
138,163,2019-01-02 10:33:35,2019-01-02 11:01:56,28,38015,Wednesday
138,163,2019-01-02 11:56:37,2019-01-02 12:41:24,44,42997,Wednesday
138,163,2019-01-02 11:44:22,2019-01-02 12:23:10,38,42262,Wednesday
138,163,2019-01-02 11:00:30,2019-01-02 11:42:49,42,39630,Wednesday
138,163,2019-01-02 11:44:08,2019-01-02 12:20:45,36,42248,Wednesday
138,163,2019-01-02 11:06:36,2019-01-02 11:57:29,50,39996,Wednesday
138,163,2019-01-02 11:41:14,2019-01-02 12:06:25,25,42074,Wednesday
138,163,2019-01-02 11:14:43,2019-01-02 11:44:21,29,40483,Wednesday
138,163,2019-01-02 11:37:47,2019-01-02 12:10:51,33,41867,Wednesday
138,163,2019-01-02 12:05:32,2019-01-02 12:38:00,32,43532,Wednesday
138,163,2019-01-02 11:49:19,2019-01-02 12:18:43,29,42559,Wednesday
138,163,2019-01-02 11:05:16,2019-01-02 11:50:31,45,39916,Wednesday
138,163,2019-01-02 11:29:56,2019-01-02 12:02:29,32,41396,Wednesday
138,163,2019-01-02 11:45:02,2019-01-02 12:21:41,36,42302,Wednesday
138,163,2019-01-02 11:38:51,2019-01-02 12:22:29,43,41931,Wednesday
138,163,2019-01-02 11:00:13,2019-01-02 11:34:16,34,39613,Wednesday
138,163,2019-01-02 12:31:43,2019-01-02 13:19:25,47,45103,Wednesday
138,163,2019-01-02 12:08:41,2019-01-02 12:47:31,38,43721,Wednesday
138,163,2019-01-02 12:43:34,2019-01-02 13:15:27,31,45814,Wednesday
138,163,2019-01-02 12:24:30,2019-01-02 12:53:29,28,44670,Wednesday
138,163,2019-01-02 12:44:58,2019-01-02 13:10:10,25,45898,Wednesday
138,163,2019-01-02 11:58:54,2019-01-02 12:42:19,43,43134,Wednesday
138,163,2019-01-02 12:29:57,2019-01-02 12:58:18,28,44997,Wednesday
138,163,2019-01-02 12:34:06,2019-01-02 13:07:34,33,45246,Wednesday
138,163,2019-01-02 12:45:59,2019-01-02 13:11:00,25,45959,Wednesday
138,163,2019-01-02 12:30:51,2019-01-02 13:05:21,34,45051,Wednesday
138,163,2019-01-02 12:29:44,2019-01-02 13:00:13,30,44984,Wednesday
138,163,2019-01-02 12:51:54,2019-01-02 13:24:56,33,46314,Wednesday
